File Format Name,Abbreviated Name (most often extension),File Format Type,Appearances in policies expressing medium confidence,Appearances in policies expressing high confidence,Total appearances in policies,Difference (between appearances in functional and bit-level policies),Relative Confidence (for File Formats in over 10 policies)
Comma Separated Values,CSV,spreadsheet/database,3,19,22,16,73%
Machine Readable Cataloging Record,MARC,document,3,16,19,13,68%
Audio Interchange File Format,"AIF, AIFC, AIFF",audio,14,45,59,31,53%
Tagged Image File Format,"TIFF, TIF",image,27,88,115,61,53%
Plain text document,"TXT, ASC",document,17,52,69,35,51%
Extensible Markup Language,XML,document,16,47,63,31,49%
Portable Document Format/A,PDF/A,document,9,25,34,16,47%
Portable Network Graphics,PNG,image,14,39,53,25,47%
Motion JPEG 2000,MJ2,video,4,10,14,6,43%
Portable Document Format,PDF,document,25,49,74,24,32%
JPEG 2000,JP2,image,23,45,68,22,32%
HyperText Markup Language,"HTML, HTM",document,18,33,51,15,29%
Postscript,"PS, EPS, AI",document,11,19,30,8,27%
JPEG,"JPG, JPEG",image,28,42,70,14,20%
Waveform Audio File Format,WAV,audio,33,47,80,14,18%
Graphics Interchange Format,GIF,image,22,31,53,9,17%
Rich Text Format,RTF,document,18,24,42,6,14%
Ogg Vorbis,OGG,audio,10,10,20,0,0%
AVI,AVI,video,20,20,40,0,0%
Microsoft Word XML,DOCX,document,6,5,11,-1,-9%
OpenDocument Spreadsheet,ODS,spreadsheet/database,6,4,10,-2,-20%
Microsoft Excel XML,XLSX,spreadsheet/database,6,4,10,-2,-20%
MPEG,"MPEG, MPG, MPE",video,21,14,35,-7,-20%
MPEG-4 (audio only),"MP4, M4A",audio,26,12,38,-14,-37%
MPEG-2,MP2,video,13,6,19,-7,-37%
Quicktime,"MOV, QT",video,47,20,67,-27,-40%
MPEG-4 Part 14 with H.264 Codec,MP4/H.264,video,9,3,12,-6,-50%
MPEG-3,MP3,audio,31,9,40,-22,-55%
MPEG Audio,"MPA, ABS, MPEGA",audio,15,4,19,-11,-58%
STATA,DTA,spreadsheet/database,8,2,10,-6,-60%
Advanced Audio Coding,AAC,audio,13,3,16,-10,-63%
Microsoft Word,DOC,document,38,8,46,-30,-65%
Standard Generalized Markup Language,"SGML, SGM",document,25,5,30,-20,-67%
MPEG-1,MP1,video,10,2,12,-8,-67%
Microsoft Powerpoint,PPT,presentation,38,6,44,-32,-73%
Windows Media Player Audio,WMA,audio,14,2,16,-12,-75%
Microsoft Excel,XLS,spreadsheet/database,39,5,44,-34,-77%
Flash Video,"FLV, F4V",video,13,1,14,-12,-86%
ZIP,ZIP,application,14,1,15,-13,-87%
AU,"AU, SND",audio,28,2,30,-26,-87%
Bitmap image file,BMP,image,31,2,33,-29,-88%
Windows Media Video,WMV,video,15,1,16,-14,-88%
TeX DVI,DVI,document,25,1,26,-24,-92%
Microsoft Project,"MPP, MPX, MPD",application,20,0,20,-20,-100%
Mathematica,MA,application,21,0,21,-21,-100%
RealAudio,"RAM, RA, RM",audio,35,0,35,-35,-100%
LateX,LATEX,document,26,0,26,-26,-100%
TeX,TEX,document,26,0,26,-26,-100%
WordPerfect,WPD,document,26,0,26,-26,-100%
Photo CD,PCD,image,26,0,26,-26,-100%
Adobe Photoshop,"PSD, PDD",image,29,0,29,-29,-100%
Filemaker,FM,spreadsheet/database,20,0,20,-20,-100%
Microsoft Visio,VSD,document,21,0,21,-21,-100%
ARC,ARC,application,0,1,1,1,N/A
JAR,JAR,application,0,1,1,1,N/A
PST,PST,application,0,1,1,1,N/A
AutoCad Exchange Format,DFX,application,2,0,2,-2,N/A
OpenOffice.org Extension,OXT,application,2,0,2,-2,N/A
Autocad Internet Files,DWF,application,3,0,3,-3,N/A
TAR,TAR,application,3,0,3,-3,N/A
R Syntax File,R,application,0,4,4,4,N/A
AutoCad,DWG,application,4,0,4,-4,N/A
R Binary File,RDATA,application,4,0,4,-4,N/A
GZIP,"GZ, GZIP",application,9,1,10,-9,N/A
Broadcast Wave Format,"BWF, BWAV",audio,4,5,9,1,N/A
Compact Disc Digital Audio System,CDDA,audio,1,0,1,-1,N/A
Linear Pulse Code Modulated Audio,LPCM,audio,1,0,1,-1,N/A
Standard MIDI,"MIF, MID",audio,1,0,1,-1,N/A
Digital Audio Interface Format,AES3,audio,0,2,2,2,N/A
AIF Compressed,AIFC,audio,3,0,3,-3,N/A
Protected Advanced Audio Encoding,M4P,audio,4,0,4,-4,N/A
Free Lossless Audio Codec,FLAC,audio,5,4,9,-1,N/A
NeXT SND,SND,audio,9,0,9,-9,N/A
C Source Code,C,computer program,0,5,5,5,N/A
C++ Source Code,C++,computer program,0,5,5,5,N/A
Java Source Code,JAVA,computer program,0,5,5,5,N/A
Java Server Pages,JSP,computer program,0,5,5,5,N/A
Hypertext Preprocessor Source Code,PHP,computer program,0,5,5,5,N/A
Perl,PL,computer program,0,5,5,5,N/A
Exectuable File,EXE,computer program,5,0,5,-5,N/A
BIN File,BIN,computer program,4,0,4,-4,N/A
Java Class File,CLASS,computer program,4,0,4,-4,N/A
Device Driver,DRV,computer program,4,0,4,-4,N/A
Programmed Data Processor Model 10,OVL,computer program,4,0,4,-4,N/A
Program Information File,PIF,computer program,4,0,4,-4,N/A
Real Mode Device Drivers,SYS,computer program,4,0,4,-4,N/A
Command File,COM,computer program,3,0,3,-3,N/A
