"doi,datacite_relationship",material_id_type,"material_id,material_type"
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,arXiv,1507.06011,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,arXiv,1507.06011,Article
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,DOI,10.13012/B2IDB-4900670_V1,Dataset
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,PURL,http://purl.stanford.edu/bz752gf4249,Thesis
10.70114/TESTIDB-J8PN93H8,IsCitedBy,PURL,http://purl.stanford.edu/bz752gf4249,Thesis
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,DOI,10.1016/j.trc.2017.03.002,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1016/j.trc.2017.03.002,Article
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,DOI,10.1007/s00180-016-0686-y,Article
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,DOI,10.1371/journal.pone.0167267,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1371/journal.pone.0167267,Article
10.70114/TESTIDB-J8PN93H8,IsSupplementedBy,"","",Code
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,DOI,10.1109/GlobalSIP.2016.7906046,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1109/GlobalSIP.2016.7906046,Article
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,DOI,10.1016/j.dss.2017.05.008,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1016/j.dss.2017.05.008,Article
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,DOI,10.1007/s00180-016-0686-y,Article
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,DOI,10.1145/3070607.3075961,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1145/3070607.3075961,Article
10.70114/TESTIDB-J8PN93H8,IsSupplementTo,DOI,10.1016/j.trc.2017.12.017,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1016/j.trc.2017.12.017,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1145/3219819.3220055,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1016/j.cor.2020.105065,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1109/FUZZ48607.2020.9177668,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1016/j.seps.2018.08.001,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,URL,http://alonsomora.com/docs/18-wallar-iros.pdf,Article
10.70114/TESTIDB-J8PN93H8,IsCitedBy,URL,http://wallar.me/publications/wallar-icra-fleet-2019.pdf,Other
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1145/3308558.3313465,Other
10.70114/TESTIDB-J8PN93H8,IsCitedBy,DOI,10.1016/j.trb.2019.05.005,Article
